Códice	token	lema	pos
BER	dientes	diente	NCMP000
BER	parientes	pariente	NCCP000
BER	punjentes	pungir	VMPP0PC
BER	abbat	abad	NCMS000
BER	sanctidat	santidad	NCFS000
BER	uerdat	verdad	NCFS000
BER	honestidat	honestidad	NCFS000
BER	faziendo	hacer	VMG0000
BER	serujendo	servir	VMG0000
BER	repentiendo	UNK	VMIP1S0
BER	ridiendo	UNK	VMG0000
BER	emjendo	UNK	VMG0000
BER	clerizia	clerecía	NCFS000
BER	maria	María	NP000P0
BER	dia	día	NCMS000
BER	saujduria	sabiduría	NCFS000
BER	acusado	acusar	VMPS0SM
BER	prouado	probar	VMPS0SM
BER	usado	usar	VMPS0SM
BER	enbargado	embargar	VMPS0SM
BER	sanna	saña	NCFS000
BER	fazanna	hazaña	NCFS000
BER	putanna	UNK	NCFS000
BER	manna	magno	AQ0FS0
BER	peccador	pecador	AQ0MS0
BER	color	color	NCMS000
BER	sennor	señor	NCMS000
BER	sudor	sudor	NCMS000
BER	uerdat	verdad	NCFS000
BER	nesçiadat	UNK	NCFS000
BER	caridat	caridad	NCFS000
BER	uerdat	verdad	NCFS000
BER	sçiençia	ciencia	NCFS000
BER	potençia	potencia	NCFS000
BER	ensentençia	UNK	NCFS000
BER	agudençia	UNK	NCFS000
BER	desarrado	desarrado	AQ0MS0
BER	granado	granar	VMPS0SM
BER	quexado	quejar	VMPS0SM
BER	aterrado	aterrar	VMPS0SM
BER	fallesçio	fallecer	VMIS3S0
BER	cayo	cayo	NCMS000
BER	oyo	oír	VMIS3S0
BER	acorrio	acorrer	VMIS3S0
BER	polluçion	polución	NCFS000
BER	ujsion	visión	NCFS000
BER	sermon	sermón	NCMS000
BER	coraçon	corazón	NCMS000
BER	loçano	lozano	AQ0MS0
BER	ujllano	villano	AQ0MS0
BER	grano	granar	VMIS3S0
BER	capellano	capellán	NCMS000
BER	dia	día	NCMS000
BER	eregia	herejía	NCFS000
BER	radia	radío	AQ0FS0
BER	capellanja	capellanía	NCFS000
BER	mja	mío	PX1FS0S0
BER	abria	abrir	VMII3S0
BER	dia	día	NCMS000
BER	maria	María	NP000P0
BER	espantado	espantar	VMPS0SM
BER	uedado	vedar	VMPS0SM
BER	errado	errar	VMPS0SM
BER	engannado	engañar	VMPS0SM
BER	cantar	cantar	VMN0000
BER	altar	altar	NCMS000
BER	calçar	calzar	VMN0000
BER	dar	dar	VMN0000
BER	capellanja	capellanía	NCFS000
BER	maria	María	NP000P0
BER	querria	querer	VMIC1S0
BER	confradia	cofradía	NCFS000
BER	rezar	rezar	VMN0000
BER	durar	durar	VMN0000
BER	contar	contar	VMN0000
BER	demostrar	demostrar	VMN0000
BER	çiudat	ciudad	NCFS000
BER	xristiandat	cristiandad	NCFS000
BER	auctoridat	autoridad	NCFS000
BER	podestat	potestad	NCFS000
BER	atal	a·tal	SPS00·DD0CS0
BER	cardenal	cardenal	NCMS000
BER	sal	salir	VMM02S0
BER	mortal	mortal	AQ0CS0
BER	ermano	hermano	NCMS000
BER	loçano	lozano	AQ0MS0
BER	romano	romano	AQ0MS0
BER	mano	mano	NCFS000
BER	prender	prender	VMN0000
BER	auer	haber	VMN0000
BER	toller	toller	VMN0000
BER	tener	tener	VMN0000
BER	paladares	paladar	NCMP000
BER	solares	solar	NCMP000
BER	logares	lugar	NCMP000
BER	pares	par	NCMP000
BER	honrrado	honrado	AQ0MS0
BER	leuado	llevar	VMPS0SM
BER	finado	finado	NCMS000
BER	dado	dar	VMPS0SM
BER	mente	mente	NCFS000
BER	mente	mente	NCFS000
BER	ujentre	vientre	NCMS000
BER	fuerte	fuerte	AQ0CS0
BER	huerto	huerto	NCMS000
BER	tuerto	tuerto	AQ0MS0
BER	confuerto	confuerto	NCMS000
BER	puerto	puerto	NCMS000
BER	derechero	derechero	AQ0MS0
BER	çellero	cillero	NCMS000
BER	ballestero	ballestero	NCMS000
BER	sennero	señero	AQ0MS0
BER	uozeria	vocería	NCFS000
BER	aleuosia	alevosía	NCFS000
BER	conpannja	compañía	NCFS000
BER	enfermeria	enfermería	NCFS000
BER	antigos	antiguo	AQ0MP0
BER	enemjgos	enemigo	NCMP000
BER	figos	higo	NCMP000
BER	pelçigos	UNK	NCMP000
BER	peccadores	pecador	NCMP000
BER	sudores	sudor	NCMP000
BER	plangores	UNK	NCMP000
BER	serujdores	servidor	NCMP000
BER	quiero	querer	VMIP1S0
BER	fjero	fiero	AQ0MS0
BER	pudiero	UNK	VMIP1S0
BER	sopiero	UNK	VMIP1S0
BER	posada	posada	NCFS000
BER	pagada	pagar	VMPS0SF
BER	ruçiada	rociar	VMPS0SF
BER	enparedada	emparedado	NCFS000
BER	auariçia	avaricia	NCFS000
BER	cobdiçia	codicia	NCFS000
BER	tristiçia	UNK	NCFS000
BER	iustiçia	justicia	NCFS000
BER	clerizia	clerecía	NCFS000
BER	dia	día	NCMS000
BER	maria	María	NP000P0
BER	meioria	mejoría	NCFS000
BER	tanto	tanto	RG
BER	manto	manto	NCMS000
BER	sancto	santo	AQ0MS0
BER	quanto	cuanto	PR0MS000
BER	ualor	valor	NCMS000
BER	sennor	señor	NCMS000
BER	honor	honor	NCMS000
BER	meior	mejor	AQ0CS0
BER	despechados	despechar	VMPS0PM
BER	deseredados	desheredar	VMPS0PM
BER	amansados	amansar	VMPS0PM
BER	peccados	pecado	NCMP000
BER	rendido	rendir	VMPS0SM
BER	adormjdo	adormir	VMPS0SM
BER	escarnjdo	escarnir	VMPS0SM
BER	serujdo	servir	VMPS0SM
BER	estrella	estrella	NCFS000
BER	ella	él	PP3FS000
BER	pella	pella	NCFS000
BER	querella	querella	NCFS000
BER	sennor	señor	NCMS000
BER	amor	amor	NCMS000
BER	peccador	pecador	AQ0MS0
BER	honor	honor	NCMS000
BER	dias	día	NCMP000
BER	malfetrias	malfetría	NCFP000
BER	mjas	mío	PX1FP0S0
BER	maestrias	maestría	NCFP000
BER	rogadores	rogador	NCMP000
BER	peccadores	pecador	NCMP000
BER	traydores	traidor	NCMP000
BER	engannadores	engañador	AQ0MP0
BER	adiablada	endiablado	AQ0FS0
BER	ligada	ligar	VMPS0SF
BER	ganada	ganar	VMPS0SF
BER	posada	posar	VMPS0SF
BER	criador	criador	NCMS000
BER	sennor	señor	NCMS000
BER	mayor	mayor	AQ0CS0
BER	peor	peor	AQ0CS0
BER	dar	dar	VMN0000
BER	tomar	tomar	VMN0000
BER	reçitar	recitar	VMN0000
BER	usar	usar	VMN0000
BER	rezares	rezar	VMSF2S0
BER	emendares	UNK	NCMP000
BER	finares	finar	AQ0CP0
BER	logares	lugar	NCMP000
BER	xpisto	Cristo	NP000P0
BER	quisto	querer	VMIS3S0
BER	ujsto	ver	VMPS0SM
BER	tristo	triste	AQ0MS0
BER	liborado	livorado	AQ0MS0
BER	apretado	apretar	VMPS0SM
BER	prostrado	postrar	VMPS0SM
BER	lazrado	lacerar	VMPS0SM
BER	creydo	creer	VMPS0SM
BER	transido	transido	AQ0MS0
BER	conosçido	conocer	VMPS0SM
BER	entendido	entender	VMPS0SM
BER	deseredados	desheredado	AQ0MP0
BER	pagados	pagar	VMPS0PM
BER	peccados	pecado	NCMP000
