Códice	token	lema	pos
RIM	afruenta	afrenta	NCFS000
RIM	arrepienta	arrepentir	VMSP1S0
RIM	fornjcaçion	fornicación	NCFS000
RIM	ocasion	ocasión	NCFS000
RIM	tribulaçion	tribulación	NCFS000
RIM	varon	varón	NCMS000
RIM	acusaron	acusar	VMIS3P0
RIM	çegaron	cegar	VMIS3P0
RIM	tronpeçaron	tropezar	VMIS3P0
RIM	señalaron	señalar	VMIS3P0
RIM	virginidat	virginidad	NCFS000
RIM	castidat	castidad	NCFS000
RIM	puridat	puridad	NCFS000
RIM	bondat	bondad	NCFS000
RIM	conuersar	conversar	VMN0000
RIM	tenprar	templar	VMN0000
RIM	estar	estar	VAN0000
RIM	guardar	guardar	VMN0000
RIM	pecado	pecado	NCMS000
RIM	abaxado	abajar	VMP00SM
RIM	ayudado	ayudar	VMP00SM
RIM	dañado	dañar	VMP00SM
RIM	Enbidia	envidia	NCFS000
RIM	ha	haber	VMIP3S0
RIM	fara	hacer	VMIF3S0
RIM	alegrara	alegrar	VMIF3S0
RIM	gastara	gastar	VMIF3S0
RIM	peco	pecar	VMIS3S0
RIM	erro	errar	VMIS3S0
RIM	enbargo	embargar	VMIP1S0
RIM	fallesçio	fallecer	VMIS3S0
RIM	cayo	caer	VMIS3S0
RIM	engaño	engañar	VMIS3S0
RIM	mando	mandar	VMIP1S0
RIM	dio	dar	VMIS3S0
RIM	perdieron	perder	VMIS3P0
RIM	vendieron	vender	VMIS3P0
RIM	mjntieron	mentir	VMIS3P0
RIM	dixeron	decir	VMIS3P0
RIM	aborresçia	aborrecer	VMII3S0
RIM	avia	haber	VMII1S0
RIM	perseguia	perseguir	VMII3S0
RIM	postrimeria	postrimería	NCFS000
RIM	coraçon	corazón	NCMS000
RIM	Sazon	sazón	NCFS000
RIM	Razon	razón	NCFS000
RIM	perdiçion	perdición	NCFS000
RIM	catar	catar	VMN0000
RIM	pesar	pesar	VMN0000
RIM	emendar	enmendar	VMN0000
RIM	amar	amar	VMN0000
RIM	gula	gula	NCFS000
RIM	pecado	pecado	NCMS000
RIM	echado	echar	VMP00SM
RIM	vedado	vedar	VMP00SM
RIM	bocado	bocado	NCMS000
RIM	poblar	poblar	VMN0000
RIM	gustar	gustar	VMN0000
RIM	desnudar	desnudar	VMN0000
RIM	acordar	acordar	VMN0000
RIM	cobrir	cubrir	VMN0000
RIM	rreyr	reír	VMN0000
RIM	maldezir	maldecir	VMN0000
RIM	venjr	venir	VMN0000
RIM	vençer	vencer	VMN0000
RIM	perder	perder	VMN0000
RIM	conosçer	conocer	VMN0000
RIM	traer	traer	VMN0000
RIM	manjar	manjar	NCMS000
RIM	dar	dar	VMN0000
RIM	fartar	hartar	VMN0000
RIM	durar	durar	VMN0000
RIM	mato	matar	VMIS3S0
RIM	syntio	sentir	VMIS3S0
RIM	adormeçio	adormecer	VMIS3S0
RIM	corto	cortar	VMIP1S0
RIM	peresçer	perecer	VMN0000
RIM	acorrer	acorrer	VMN0000
RIM	perder	perder	VMN0000
RIM	plazer	placer	NCMS000
RIM	preçiadas	preciado	AQ0FP0
RIM	adobadas	adobar	VMP00PF
RIM	sobradas	sobrar	VMP00PF
RIM	deseadas	desear	VMP00PF
RIM	peresçio	perecer	VMIS3S0
RIM	partio	partir	VMIS3S0
RIM	murio	morir	VMIS3S0
RIM	desçendio	descender	VMIS3S0
RIM	ordenado	ordenar	VMP00SM
RIM	acaloñado	acaloñar	VMP00SM
RIM	judgado	juzgar	VMP00SM
RIM	Rogado	rogar	VMP00SM
RIM	pecador	pecador	AQ0MS0
